"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","website","openinghours"
,"宇津野レディスクリニック","116-0003","東京都","荒川区","荒川区南千住4-7-1 ビビ南千住3F","13118","03-3803-4107","http://utsuno.info/","平日 10:00-19:00 土 10:00-17:00"
,"医療法人社団秀洋会 白十字診療所","116-0013","東京都","荒川区","荒川区西日暮里2-19-10 日暮里KSビル3階","13118","03-3802-3911","www.hakujuji-clinic.com","平日 9:00-14:30 17:00-19:30土  9:00-12:00"
,"医療法人社団順風会 高島平クリニック","175-0082","東京都","板橋区","板橋区高島平1-12-11 1.2.3F","13119","03-3936-4164","http://takashimadaira-clinic.jp/","月・火・水・金 9:00-18:00土  9:00-17:00"
,"渡辺産婦人科医院","175-0082","東京都","板橋区","板橋区高島平2-3-14","13119","03-5399-3008","http://watanabe-sanfu-clinic.com/index.html","月火木金 9時から12時、14時30分から17時土 9時から12時"
,"医療法人社団 みえこ女性クリニック","173-0005","東京都","板橋区","板橋区仲宿64-6 コスモ和光V2F","13119","03-5943-1123","http://www.mieco-clinic.com","月・木・金 13:00-19:00 火 14:00-20:00水 16:00-20:00 土 13:00-17:00"
,"斎藤医院","176-0004","東京都","練馬区","練馬区小竹町2-8-8","13120","03-3955-3511","","月・火・水・金・土 9:00-11:30月・火・水・金   17:00-19:00"
,"医療法人社団健晟会 扇内医院","176-0024","東京都","練馬区","練馬区中村3-4-18","13120","03-3990-2111","http://www.ogiuchi.com","平日 9:30-12:30 14:00-17:30 土 9:30-12:3012月より平日 9:30-12:30 14:00-18:30"
,"医療法人社団養生会 赤松レディスクリニック","176-0002","東京都","練馬区","練馬区桜台3-41-14","13120","03-3991-8854","www.akamatsu-clinic.com","平日 8:30-18:00 土 8:30-12:00"
,"医療法人社団憲信会 関根ウィメンズクリニック","179-0085","東京都","練馬区","練馬区早宮2-24-10","13120","03-3931-5588","http://www.sekine-clinic.or.jp","平日 8:30-17:30 土 8:30-13:00"
,"医療法人社団向笑会 花岡由美子女性サンテクリニック","178-0063","東京都","練馬区","練馬区東大泉5-29-8","13120","03-5947-3307","","月・火・木・金・土 9:30-12:00 15:00-18:00"
,"たかみクリニック","176-0001","東京都","練馬区","練馬区練馬4-10-10","13120","03-5984-5122","http://takami-cl.jp/","平日 9:00-12:30 15:30-19:00土   9:00-12:30"
,"ウィート女性クリニック北千住","120-0034","東京都","足立区","足立区千住2-18 為静ビル2F","13121","03-3888-1001","https://www.wonens-kitasenju.net","平日 9:30-17:00 土(第2・4) 9:30-13:00"
,"医療法人社団向仁会 真島クリニック","123-0852","東京都","足立区","足立区関原1-21-2","13121","03-3849-4127","majimacl.@xqj.biglobe.ne.jp","月・火・木・金 9:00-12:00 15:00-17:00土  9:00-12:00"
,"医療法人社団なずな会 池上レディースクリニック","121-0823","東京都","足立区","足立区伊興5-6-8","13121","03-5838-0228","http://www.ikegami-lady.com","月・火・木・金 9:00-12:00 14:00-17:00水・土 9:00-12:00"
,"矢追医院","123-0872","東京都","足立区","足立区江北2-33-6","13121","03-3890-3387","http://www.yaoi.org","月 9:30-17:00 火・木 9:30-18:00土 12:00-19:30 日・祝0:00-17:30"
,"医療法人社団 長門クリニック","120-0002","東京都","足立区","足立区中川2-5-8","13121","03-3605-3131","https://www.nagato-clinic.or.jp/","平日 9:00-16:00 土 9:00-15:00"
,"くすの木レディースクリニック北千住","120-0034","東京都","足立区","足立区千住3-1 藤田ビル2階","13121","03-6806-2500","www.kusunoki.tokyo","平日 9:30-17:30土 9:30-17:30"
,"医療法人社団慶暢会 中村医院","124-0024","東京都","葛飾区","葛飾区新小岩2-35-4","13122","03-3654-9237","","月・火・水・金 9:00-12:30 14:00-18:00土  9:00-12:30"
,"医療法人社団聖マリア会東京フェリシアレディースクリニック","124-0012","東京都","葛飾区","葛飾区立石8-9-6","13122","03-3691-9931","https://www.tokyo-felicia.com/","月・火・水・金 9:00-12:30 15:30-18:00木 9:30-12:30 土 9:00-13:00"
,"佐久間レディース&ファミリアクリニック","124-0006","東京都","葛飾区","葛飾区堀切2-54-16","13122","03-3691-0371","https://sakuma-ladies.com/","月・火・木・金 9:00-13:00 16:00-18:00土  9:00-13:00 15:00-17:00"
,"医療法人社団慶風会 増田産婦人科","125-0041","東京都","葛飾区","葛飾区東金町1-13-5","13122","03-3607-1519","www.masudasanfujinka.jp","月・火・水・木・金・土 9:00-11:30月・火・木・金 13:00-15:30月・水・金 18:00-19:00"
,"小宅産婦人科医院","125-0031","東京都","葛飾区","葛飾区西水元1-29-17","13122","03-3609-0415","","月・火・木・金 9:00-12:30 15:00-17:50"
,"医療法人社団晃母会 らいおんハートクリニック","132-0034","東京都","江戸川区","江戸川区小松川2-8-1","13123","03-5875-2830","kobokai@lion-clinic.com","火 9:00-12:00 15:00-18:00金 15:00-16:30"
,"太田医院","132-0025","東京都","江戸川区","江戸川区松江3-19-17","13123","03-3656-1450","","月・火・水・金 9:00-13:00 14:30-18:20土  9:00-13:00"
,"葛西産婦人科","134-0084","東京都","江戸川区","江戸川区東葛西6-8-6","13123","03-3686-0311","gt-kasai@sea.plala.or.jp","月・火・水・金 9:00-11:50 14:00-16:00土   9:00-11:50"
,"医療法人社団聖育会 三枝産婦人科医院","134-0088","東京都","江戸川区","江戸川区西葛西3-18-1","13123","03-3680-3003","http://www.saigusa.or.jp/","24時間対応"
,"医療法人社団清雅会 清水産婦人科クリニック","132-0035","東京都","江戸川区","江戸川区平井6-2-30","13123","03-3613-5555","http://www.shimizuclinic.net/","平日 8:40-16:30 土 8:40-11:30"
,"新クリニック","193-0931","東京都","八王子市","八王子市台町2-16-8","13201","042-621-6203","https://www.nhlclinic.com/","月・火・金 9:00-12:00 15:00-18:00水 9:00-11:00 土 9:00-12:00 15:00-17:00"
,"医療法人社団陽晃会 はぎの医院","192-0066","東京都","八王子市","八王子市本町11-6-1F","13201","042-622-2206","","火・水・金 9:00-12:00 14:00-17:00土  9:00-12:00"
,"京王産婦人科クリニック","193-0833","東京都","八王子市","八王子市めじろ台2-19-4","13201","042-664-3511","http://keiosanfujinka.com/","月・火・木・金 9:20-13:00 15:00-18:00土   9:20-13::00"
,"医療法人社団宥和会 南大沢婦人科ヒフ科クリニック","192-0364","東京都","八王子市","八王子市南大沢2-27 フレスコ南大沢4F","13201","042-674-0855","http://www.fujinkahifuka.jp","月・火・木・金 9:30-13:00 14:30-18:00土   9:30-13::00"
,"山田ウイメンズクリニック","192-0046","東京都","八王子市","八王子市明神町3-25-7 グランデュールマンション1F","13201","042-648-0870","https://yamada-womensclinic.com/","平日 9:20-12:30 15:00-18:00土   9:20-12:30"
,"まるはし女性応援クリニック","190-0012","東京都","立川市","立川市曙町2-9-4 野口ビル3F","13202","042-512-8736","http://www.marugyne.com","月・火・水・木 11:00-13:30 16:00-19:00日  11:00-15:00"
,"こむかい産婦人科","190-0022","東京都","立川市","立川市錦町2-3-30","13202","042-525-3524","https://www.komukai.net/","月・火・水・木 9:00-12:00 13:30-15:3017:00-18:00土  9:00-12:00 13:30-15:30"
,"医療法人社団 泉医院","190-0012","東京都","立川市","立川市曙町2-14-16 住生ASKビル1階","13202","042-522-2233","http://www.izumi-iin.com","月・火・木・金 9:00-12:00 15:00-18:30土  9:00-13:00"
,"医療法人社団正裕会 井上レディースクリニック","190-0013","東京都","立川市","立川市富士見町1-26-9","13202","042-529-0111","http://www.inoue-ladies.jp","月・水・金 9:00-12:00 15:00-18:00火・木・土    9:00-12:00"
,"毛利もとこ女性クリニック","190-0023","東京都","立川市","立川市柴崎町2-1-8 立川駅南口メディカルモール2F","13202","042-540-3300","https://www.josei-clinic.info/","月・火・木・金 9:30-12:30 15:00-18:30土 9:30-15:00"
,"武蔵境いわもと婦人科クリニック","180-0023","東京都","武蔵野市","武蔵野市境南町3-14-6 山桃ビル2F","13203","0422-31-3737","https://www.iwa-cl.jp/","月・水・金 10:00-14:00 16:00-20:00火 10:00-14:00 16:00-18:30木 10:00-14:00 土 10:00-13:00 14:00-17:00"
,"むさしのレディースクリニック","180-0022","東京都","武蔵野市","武蔵野市境1-4-3 ヒルズK1F","13203","0422-38-6340","https://musashino-ladies.jp/","月・火・水・金 9:30-12:00  15:30-19:00土  9:30-12:30"
,"みたか北口ゆきレディスクリニック","180-0006","東京都","武蔵野市","武蔵野市中町1-17-2 ステラ武蔵野3F","13203","0422-56-7177","https://mkyuki-lc.jp","平日 9:30-13:00 15:00-18:30土  9:30-13:00"
,"医療法人社団友久会 池下レディースクリニック吉祥寺","180-0004","東京都","武蔵野市","武蔵野市吉祥寺本町1-23-1 KS23ビル6・7F","13203","0422-27-2965","http://www.ikeshita-clinic.com/kichijoji/","平日 9:00-19:00土  9:00-14:00"
,"おおやクリニック","180-0022","東京都","武蔵野市","武蔵野市境2-8-3","13203","0422-51-3001","https://www.ooya-clinic.com","月・火・水・木・金・土 9:00-12:00月・水 15:00-18:00火・金 15:00-19:00"
,"医療法人社団アソシア会吉祥寺レディースクリニック","180-0003","東京都","武蔵野市","武蔵野市吉祥寺南町2-6-10 富士パームビル5F","13203","0422-40-1770","","平日 10:00-13:00 15:00-18:30土   10:13:00"
,"佐々木産婦人科","180-0022","東京都","武蔵野市","武蔵野市境4-10-8","13203","0422-54-9311","www.sasakisanfujinka.com/","月・火・水・金 9:00-12:00 15:00-18:00土  9:00-12:00"
,"吉祥寺南町診療所","180-0003","東京都","武蔵野市","武蔵野市吉祥寺南町2-5-3","13203","0422-49-9820","http://www.kichinan.com/clinic/","月・火・木・金 9:30-12:30月・木・金・土 15:00-17:00月・水・木・金 19:30-20:00"
,"医療法人社団テンジン 三鷹レディースクリニック","181-0013","東京都","三鷹市","三鷹市下連雀3-31-4 ライオンズマンション 1F","13204","0422-70-1150","mitaka-ladies@aurora.ocn.jp","月・火・木・金 10:00-13:00 15:00-18:00土 10:00-13:00"
,"レディースクリニックりゅう","180-0023","東京都","武蔵野市","武蔵野市境南町2-12-2 武蔵野エイトマンション1・2F","13203","0422-32-2055","","平日 10:00-13:00 15:00-19:00土   10:00-13:00 15:00-17:00日 第2・第4  10:00-13:00"
,"医療法人社団聡仁会 スマイルレディースクリニック","180-0003","東京都","武蔵野市","武蔵野市吉祥寺南町2-38-7","13203","0422-76-8656","http://smile-ladies.jp/","平日9:30-12:30,16:00-19:30  土曜9:30-14-30"
,"医療法人社団久優会 フェリーチェレディースクリニック吉祥寺","180-0004","東京都","武蔵野市","武蔵野市吉祥寺本町1-12-2 HINOビル2F","13203","0422-22-6878","https://felice.or.jp/","月・火・木・土 10:00-13:00 15:00-18:00金 10:00-13:00 16:00-19:00"
,"医療法人社団恵成 しおかわレディースクリニック","180-0004","東京都","武蔵野市","武蔵野市吉祥寺本町2-10-10 ファロビル3F","13203","0422-21-1567","http://www.shiokawalc.com","月・火・水・金 9:00-13:00 15:30-19:00木 15:30-19:00 土 9:00-13:00 15:30-17:00"
,"村越レディースクリニック","181-0013","東京都","三鷹市","三鷹市下連雀3-7-28 ラ・プルミエール村越1F","13204","0422-29-8225","http://murakoshi-lc.com/","月・水・木・金 9:00-13:00 15:00-19:00火 9:00-13:00 土 9:00-14:00"
,"医療法人社団 山田えいこレディースクリニック","181-0013","東京都","三鷹市","三鷹市下連雀3-24-7 平嶺ビル2F","13204","0422-26-7525","http://www2.ocn.ne.jp/eikolady/","月・水 9:00-11:30 15:00-17:30火・金 9:00-11:30 15:00-16:30 土 9:00-11:30"
,"医療法人社団 新町クリニック","198-0024","東京都","青梅市","青梅市新町3-53-5","13205","0428-31-5377","www.shinmachi-cl.com","平日 9:30-15:30"
,"医療法人社団 林レディースクリニック","198-0042","東京都","青梅市","青梅市東青梅3-8-8","13205","0428-20-1887","http://www.hayashi-lc.ome.tokyo.jp","月・火・木・金 8:30-17:00土  8:30-12:30"
,"貝原レディースクリニック","183-0055","東京都","府中市","府中市府中町2-5-8 Grace Court Fuchuekimae101","13206","042-352-8341","http://www.kaibara-ladies.com/","月・火・木・金 11:00-13:00 15:00-19:00水・土 11:00-13:00"
,"医療法人社団均禮会 府中の森 土屋産婦人科","183-0055","東京都","府中市","府中市府中町3-10-9","13206","042-351-3748","www.tsuchiyaclinic.com/","月・火・木・金 8:45-12:30 14:30-16:30水  8:45-12:30 土  8:45-13:30"
,"医療法人社団橙康会 府中レデースクリニック","183-0055","東京都","府中市","府中市府中町2-1-7 角ないとうビル2F","13206","042-358-5558","http://fuchuladys.atat.jp","平日 10:00-18:30土   10:00-12:30"
,"医療法人社団聖マリア吉祥会 石原レディースクリニック","196-0015","東京都","昭島市","昭島市昭和町3-18-21","13207","042-545-9022","http://ishiharaladies.net","平日 9:00-16:30土   9:00-11:30"
,"医療法人社団SJS 金子レディースクリニック","182-0021","東京都","調布市","調布市調布ケ丘3-19-13","13208","042-426-7800","in50@kaneko-ladies.com","月・火・水・木・金・土 9:00-12:00月・火・木・金・土 14:00-17:00"
,"医療法人社団東仁会 つつじヶ丘神代クリニック","182-0006","東京都","調布市","調布市西つつじケ丘4-15-5","13208","042-443-2246","https://www.zenjinkai-group.jp/tojinkai/clinic/jindai","月・火・金 9:00-18:00水・土    9:00-12:00"
,"よこすかレディースクリニック","182-0002","東京都","調布市","調布市仙川町1-20-16 ヴィバーチェ仙川2F","13208","03-5315-5686","http://www.yokosukalc.com/","月・火・水・金 9:00-12:30 15:00-18:30土  9:00-13:30"
,"調布レディースクリニック","182-0026","東京都","調布市","調布市小島町1-5-6 アールアンドエスビル2F","13208","042-480-1050","http://chofu-lc.jp/","平日 10:00-13:00 15:00-18:00土   10:00-13:00 15:00-17:00"
,"尾崎医院","194-0013","東京都","町田市","町田市原町田4-12-6","13209","042-722-3321","https://www.ozakiclinic.jp","月・火・水・金 9:00-12:00 15:00-17:30土 9:00-12:00"
,"町田東口クリニック","194-0022","東京都","町田市","町田市森野1-35-8 ヴィンテージ2 3F","13209","042-721-8855","https://www.machida-higashiguchi-clinic.com/clinic","月・火・木 10:00-12:30 16:00-20:30金  15:00-20:30土・日・祝 10:-12:30 13:30-16:00"
,"医療法人社団誠裕會 鶴川レディースクリニック","195-0053","東京都","町田市","町田市能ケ谷3-1-5","13209","042-737-7271","http://www9.plala.or.jp/tsurukawa-lds/","月・火・木・金 10:00-13:00 15:00-18:30水 15:00-18:30 土 9:00-12:30"
,"医療法人社団菜の花会町田産婦人科 菜の花クリニック","194-0045","東京都","町田市","町田市南成瀬7-14-1","13209","042-728-1101","http://www.machida-nanohana-cl.jp/index.html","平日・土  9:00-17:00"
,"医療法人社団公人会 みむろウィメンズクリニック","194-0013","東京都","町田市","町田市原町田1-7-17 ガレリア町田ビル3F","13209","042-710-3609","http://mimuro-cl.com","月・水・金 9:00-11:30 14:00-16:30火・木・隔週土 9:00-11:30インターネットより完全予約"
,"ひろいウィメンズクリニック","194-0022","東京都","町田市","町田市森野1-19-13 RINSBOX2F・3F","13209","042-850-9027","","平日 9:00-18:00 土  9:00-17:00日   9:00-10:30"
,"医療法人社団せいこう会小金井婦人科クリニック","184-0004","東京都","小金井市","小金井市本町6-13-18 コスモスビル3F","13210","042-316-3824","http://koganeifujinka.jp/","火・水・金・土 9:00-13:00 15:00-18:00木  9:30-11:30"
,"医療法人社団鶴亀会 小金井つるかめクリニック","184-0004","東京都","小金井市","小金井市本町6-14-28 アクウェルモール3F","13210","042-386-3757","http://koganei.tsurukamekai.jp","月・火・水・金・土 8:45-17:30木  8:45-12:00"
,"花小金井レディースクリニック","187-0003","東京都","小平市","小平市花小金井南町1-19-3 SORA1階","13211","042-497-5218","https://www.hanako-ladies.com","月・水・木・金 9:00-12:00 14:00-17:30土 9:00-12:00"
,"医療法人輝 ジュンレディースクリニック小平","187-0044","東京都","小平市","小平市喜平町1-14-20","13211","042-329-4103","http://www.jun-lc-kodaira.com/","平日・土 9:00-12:00 14:00-16:00"
,"みなみ野レディースクリニック","192-0917","東京都","八王子市","八王子市西片倉3-1-4 第2みなみ野クリニックセンター4F","13201","042-632-8044","http://www.minaminolc.jp/","月・火・水・金 10:00-12:50 15:30-18:50木・土 10:00-12:50"
,"大川産婦人科医院","191-0062","東京都","日野市","日野市多摩平3-14-4","13212","042-586-1061","http://www.ohkawa-medical.jp/","受付時間 月・水・土 8:00-12:00 13:30-16:00火・金    8:00-12:00"
,"産婦人科コンチェルト","191-0012","東京都","日野市","日野市日野2949-4","13212","042-586-1103","http://concerto-lc.jp/","平日 9:00-16:00土   8:30-12:00"
,"医療法人社団つつじ会 くぬぎ産婦人科","189-0014","東京都","東村山市","東村山市本町1-22-24","13213","042-395-3331","https://kunugi-lc.com","火・水・金・土 9:00-12:00  14:00-17:00日        9:00-12:00"
,"医療法人社団レニア会 武谷ひまわりウィメンズクリニック","189-0014","東京都","東村山市","東村山市本町2-3-21 東村山第3赤澤ビル3F","13213","042-398-4103","http://www.cl-himawari.com","平日 9:00-12:00 14:00-16:00土   9:00-12:00"
,"医療法人社団陽光会 石川てる代ウィメンズクリニック","185-0021","東京都","国分寺市","国分寺市南町3-1-28 飛べない飛行船パート2","13214","042-324-9661","","月・火・水・金 8:30-12:00 14:30-18:00土  8:30-12:00"
,"医療法人社団美力会 西国分寺レディースクリニック","185-0024","東京都","国分寺市","国分寺市泉町2-9-3 ハートフルビル西晴2F","13214","042-300-0055","http://www.nklc.jp","平日 9:30-12:00 15:00-17:30土  9:30-12:00"
,"岡産婦人科","186-0004","東京都","国立市","国立市中1-18-13","13215","042-572-0368","","月・火・木・金 9:00-12:00 15:00-18:00土  9:00-12:00"
,"医療法人社団慈心会 保坂産婦人科クリニック","201-0014","東京都","狛江市","狛江市東和泉1-21-3","13219","03-3488-1103","https://www.hosaka-cl.com/","月・火・木・金 9:00-12:00 15:00-18:00水・土   9:00-12:00"
,"社会医療法人財団大和会東大和病院附属セントラルクリニック","207-0014","東京都","東大和市","東大和市南街2-3-1","13220","042-562-5511","http://www.yamatokai.or.jp","月・水・木・金・土 8:30-16:00"
,"医療法人社団心慈会 レディースクリニックマリアヴィラ","207-0023","東京都","東大和市","東大和市上北台1-2-14 上北台メディカルビル4F","13220","042-566-8827","http://www.maria-villa.jp/","月・火・木・金 9:00-12:00 16:30-19:30土 9:00-12:00 14:00-17:00"
,"宇都宮レディースクリニック","204-0021","東京都","清瀬市","清瀬市元町1-4-26 清瀬パークホームズ1F","13221","042-491-0103","https://utsunomiya.or.jp/","月・火・水・金・土 9:00-17:00"
,"医療法人社団恵輝会 ペルフェ滝山マタニティクリニック","203-0033","東京都","東久留米市","東久留米市滝山5-3-6","13222","042-477-3503","http://www.perfe.jp/","月・火・金 9:00-16:30水・土   9:00-12:00"
,"医療法人社団紫波会 平賀診療所","206-0011","東京都","多摩市","多摩市関戸2-10-10","13224","042-375-7154","","月・火・木・金 9:30-11:30 15:00-16:30土   9:00-11:30"
,"こまちレディースクリニック","206-0033","東京都","多摩市","多摩市落合1-3-1 かじやビル1F","13224","042-357-3535","","月・火・水・木・金・土 9:50-12:45月・火・水・木     15:00-18:30"
,"ヒルズクリニック聖蹟","206-0011","東京都","多摩市","多摩市関戸1-5-2","13224","042-316-5556","http://hills-clinic.com","平日 9:30-11:30 13:30-16:45土  9:30-11:30 来院前事前電話"
,"よりみつレディースクリニック","205-0011","東京都","羽村市","羽村市五ノ神1-2-2 メディカルプラザ3F","13227","042-570-5130","http://website2.infomity.net/8380000092/","月・火・水・金 8:30-16:00"
,"わかくさ医院","205-0001","東京都","羽村市","羽村市小作台2-7-16","13227","042-579-0311","wakakusaiin@hamurashi-med.or.jp","月・木    8:30-12:00 14:30-17:00火・金・土 8:30-1200"
,"医療法人社団ヒマワリ会畑中医院","188-0012","東京都","西東京市","西東京市南町3-22-8","13229","042-461-3209","http://www.gigi-town.jp/clinic/hatanaka-iin","月・火・木・金 9:00-18:00水・土      9:00-12:00"
,"ひろクリニック","188-0001","東京都","西東京市","西東京市谷戸町3-26-7","13229","042-423-2784","http://hiroi-c.com","月・火・木 9:00-12:30 14:00-17:30金 9:00-12:30 15:00-18:30 土9:00-12:30"
,"医療法人社団湯川 湯川ウイメンズクリニック","188-0011","東京都","西東京市","西東京市田無町4-26-9 JSビル2F","13229","042-469-5800","http://www.yukawa-clinic.com","月・水・木・金 9:00-12:00 14:00-17:30土 9:00-12:00"
,"三宅村中央診療所","100-1101","東京都","三宅村","三宅村神着937番地","13381","04994-2-0016","https://www.vill.miyake.tokyo.jp/iryou_shinryoujo/chuuou/","24時間 365日対応"
,"青ヶ島村国民健康保険青ヶ島診療所","100-1701","東京都","青ヶ島村","青ケ島村青ケ島無番地","13402","04996-9-0123","無","平日 9:00-17:15夜間・休日 対応可 (要電話"
,"東京都小笠原村診療所","100-2101","東京都","小笠原村","小笠原村父島字清瀬","13421","04998-2-3800","http://www.ogasawaraclinic.jp","随時対応可"
,"小笠原村母島診療所","100-2211","東京都","小笠原村","小笠原村母島字元地","13421","04998-3-2115","http://www.ogasawaraclinic.jp/clinic/hahajima.html","24時間"
,"臼井医院","415-0022","静岡県","下田市","静岡県下田市2丁目3-27","22219","0558-22-1221","","平日9時~17時土9時~12時時間外・休診日・祝日・日曜は電話にて要相談"
,"伊豆今井浜病院","413-0503","静岡県","河津町","静岡県賀茂郡河津町見高178","22302","0558-34-1123","https://izuimaihama.jadecom.or.jp/","火・木9時~11時30分水・金9時~11時30分、13時~16時"
,"伊東市民病院","414-0055","静岡県","伊東市","静岡県伊東市岡196-1","22208","0557-37-2626","http://www.ito-shimin-hp.jp/","24時間対応可能"
,"上山レディースクリニック","414-0051","静岡県","伊東市","静岡県伊東市吉田573-3","22208","0557-45-8103","ueyamasanfujinka.com","8時~12時"
,"佐藤産婦人科医院","414-0005","静岡県","伊東市","静岡県伊東市松原湯端町3-18","22208","0557-37-5321","","月・水・金9時~12時、15時~17時土9時~12時"
,"井関マタニティクリニック","410-0881","静岡県","沼津市","静岡県沼津市八幡町115","22203","055-952-4103","","平日8時~11時30分、13時30分~15時30分水午後・土・日・祝日休診"
,"岩端医院","410-0801","静岡県","沼津市","静岡県沼津市大手町3-2-19","22203","055-962-1368","http://www.iwahata.jp","月・火・木・金9時~12時、14時~18時水・土9時~12時"
,"かぬき岩端医院","410-0822","静岡県","沼津市","静岡県沼津市下香貫前原1479-3","22203","055-932-8189","https:/www.kanuki-iwahata.com/","月・火・水・金8時45分~18時木・土8時45分~11時30分"
,"かまたクリニック","411-0033","静岡県","三島市","静岡県三島市文教町1-1-35","22206","055-988-2488","かまたクリニック.jp","月・火・木・金9時~12時、14時30分~17時30分土9時~12時"
,"こまきウイメンズクリニック","411-0038","静岡県","三島市","静岡県三島市西若町7-45","22206","055-972-1057","komaki-womenclinic.jp","平日9時~12時15分、14時30分~18時15分土9時~12時45分水・日・祝日休"
,"田中産婦人科医院","411-0858","静岡県","三島市","静岡県三島市中央町6-23","22206","055-971-3541","http://www.tanaka-og.jp/","月・水・金9時~12時、14時~17時火・木・土9時~12時"
,"三島レディースクリニック","411-0841","静岡県","三島市","静岡県三島市南本町15-35","22206","055-991-0770","mishima.lc.net","平日(火除く)8時30分~12時、15時~17時30分土・火8時30分~12時"
,"裾野赤十字病院","410-1118","静岡県","裾野市","静岡県裾野市佐野713","22220","055-992-0008","http://www.susono-jrc.jp/","月~木 8時15分~11時"
,"かやま産婦人科医院","410-1101","静岡県","裾野市","静岡県裾野市岩波124-2","22220","055-997-3551","http://www.kayama-clinic.or.jp","月・金8時30分~12時、14時~17時30分火・水8時30分~12時、14時~17時土8時30分~12時30分木・日・祭日休診"
,"ごとうレディースクリニック","410-1123","静岡県","裾野市","静岡県裾野市伊豆島田834-2","22220","055-992-7111","http://www.goto-ladies.jp","月~金8時30分~11時30分、14時~16時30分土8時30分~11時30分"
,"矢田レディースクリニック","410-2302","静岡県","伊豆の国市","静岡県伊豆の国市宗光寺925-1","22225","0558-76-4550","","平日9時~12時、15時~18時木・土9時~12時"
,"三島マタニティクリニック","419-0123","静岡県","函南町","静岡県田方郡函南長間宮451","22325","055-979-0192","","月~土 8時30分~12時30分"
,"島田産婦人科医院","411-0907","静岡県","清水町","静岡県駿東郡清水町伏見38-1","22341","055-972-6100","www.shimada-sf.com","平日9時~17時30分木9時~12時土9時~12時"
,"前川産婦人科クリニック","411-0933","静岡県","長泉町","静岡県駿東郡長泉町下長窪988-11","22342","055-999-6300","","月・火・水・金8時30分~18時木・土8時30分~12時"
,"博愛堂医院","412-0045","静岡県","御殿場市","静岡県御殿場市川島田545-3","22215","0550-82-0316","","平日9時~18時土9時~12時"
,"富士宮市立病院","418-0076","静岡県","富士宮市","静岡県富士宮市錦町3-1","22207","0544-27-3151","https://fujinomiya-hp.jp","対応可能時間帯に制限無し"
,"天神産婦人科医院","418-0063","静岡県","富士宮市","静岡県富士宮市若の宮町398","22207","0544-24-1322","","日・火・木・金8時30分~12時、14時30分~17時30分水・土8時30分~12時"
,"坂東レディースクリニック","418-0021","静岡県","富士宮市","静岡県富士宮市杉田1016-7","22207","0544-28-5800","www.bando-ladies-clinic,jp/","月・火・木9時~12時、14時~17時水9時~12時金9時~12時、14時~18時土9時~15時"
,"池田産婦人科医院","417-0862","静岡県","富士市","静岡県富士市石坂415-15","22210","0545-21-2228","","平日9時~18時土9時~12時"
,"窪田レディースクリニック","416-0916","静岡県","富士市","静岡県富士市平垣100-6","22210","0545-65-7077","http://www.kubota-ladies.jp/index.html","月・火・木・金8時30分~18時水・土8時30分~12時"
,"武田産婦人科医院","416-0945","静岡県","富士市","静岡県富士市宮島330-7","22210","0545-63-5122","","月・火・木・金8時30分~17時水・土8時30分~12時"
,"たむらレディースクリニック","416-0951","静岡県","富士市","静岡県富士市米之宮町250","22210","0545-65-7777","","月・火・土8時30分~11時30分、14時30分~16時30分水8時30分~11時30分、14時30分~17時30分金8時30分~11時30分"
,"長谷川産婦人科医院","417-0051","静岡県","富士市","静岡県富士市吉原5-3-18","22210","0545-53-7575","hasegawa-sanfujinka.com","月・火・木・金8時30分~12時30分、15時~18時水8時30分~12時30分土8時30分~14時祝日は曜日毎の診療"
,"船津クリニック","416-0955","静岡県","富士市","静岡県富士市川成新町295","22210","0545-65-7272","http://www.funatsuclinic.com","月~水・金10時~13時、15時~18時木・土10時~13時いずれも休日除く"
,"宮崎クリニック","416-0909","静岡県","富士市","静岡県富士市松岡300-15","22210","0545-66-3731","http://www.miyazaki-cl.com","月・火・水・金9時~12時、15時~18時土9時~12時"
,"望月産婦人科医院","417-0847","静岡県","富士市","静岡県富士市比奈1-856","22210","0545-34-0445","","平日9時~12時30分、14時30分~17時30分木・土9時~12時30分"
,"JA静岡厚生連静岡厚生病院","420-8623","静岡県","静岡市葵区","静岡県静岡市葵区北番町23","22101","054-271-7177","http://www.ja-shizuoka.or.jp/","平日8時30分~17時"
,"静岡県立総合病院","420-8527","静岡県","静岡市葵区","静岡県静岡市葵区北安東4-27-1","22101","054-247-6111","http://www.shizuoka-pho.jp/spgp/sp/","24時間対応"
,"静岡市立静岡病院","420-8630","静岡県","静岡市葵区","静岡県静岡市葵区追手町10-93","22101","054-253-3125","https://www.shizuokahospital.jp/","平日8時30分~17時15分"
,"静岡赤十字病院","420-0853","静岡県","静岡市葵区","静岡県静岡市葵区追手町8-2","22101","054-254-4311","https://www.shizuoka-med.jrc.or.jp/","24時間対応可(性犯罪による診療のみ対応可)"
,"今井産科婦人科クリニック","420-0004","静岡県","静岡市葵区","静岡県静岡市葵区末広町117-1","22101","054-275-0341","www.imai-3f.com","電話対応は24時間可月・水・金9時~12時、15時~18時火・土9時~12時"
,"静岡中央クリニック","420-0857","静岡県","静岡市葵区","静岡県静岡市葵区御幸町6-11一瀬ビル6F","22101","054-221-1178","chuoh-clinic-beauty..com","開院日9時30分~18時※休診日不定"
